,Gender,Age,No_Pol,Car_Category,Subject_Car_Colour,Subject_Car_Make,LGA_Name,State,ProductName,Policy Start Year,Policy Start Month,Policy Start Day,Policy End Year,Policy End Month,Policy End Day,First Transaction Year,First Transaction Month,First Transaction Day,target
43,3.0,47,1,2.0,4.0,21.0,197.0,27.0,1,2010,4,25,2011,4,9,2010,4,25,0
44,1.0,36,1,16.0,45.0,74.0,258.0,111.0,1,2010,12,25,2011,4,24,2010,12,25,0
45,1.0,47,3,2.0,45.0,42.0,42.0,27.0,1,2010,1,13,2011,1,12,2010,1,13,1
46,3.0,41,2,8.0,37.0,67.0,101.0,23.0,2,2010,3,8,2011,2,9,2010,3,8,0
47,3.0,42,3,13.0,25.0,33.0,11.0,85.0,0,2010,7,8,2011,7,7,2010,7,8,0
48,3.0,38,1,8.0,25.0,67.0,258.0,111.0,1,2010,4,15,2011,4,14,2010,4,15,0
49,1.0,27,1,16.0,45.0,74.0,258.0,111.0,1,2010,9,9,2011,9,8,2010,9,9,0
50,3.0,42,1,8.0,32.0,67.0,160.0,73.0,1,2010,6,6,2011,6,5,2010,6,6,1
51,3.0,39,1,8.0,26.0,26.0,258.0,111.0,1,2010,5,20,2011,5,19,2010,5,20,0
52,1.0,30,2,8.0,4.0,67.0,103.0,46.0,1,2010,4,26,2011,4,25,2010,4,26,0
53,1.0,64,1,8.0,4.0,67.0,258.0,111.0,1,2010,4,23,2011,4,22,2010,4,23,0
54,7.0,120,1,2.0,4.0,42.0,247.0,73.0,6,2010,11,28,2011,11,27,2010,11,28,0
55,3.0,36,1,8.0,45.0,69.0,258.0,111.0,5,2010,7,31,2011,7,30,2010,7,31,0
56,1.0,50,1,8.0,45.0,67.0,176.0,23.0,1,2010,7,4,2011,7,3,2010,7,4,0
57,1.0,53,1,8.0,45.0,67.0,258.0,111.0,5,2010,8,15,2011,8,14,2010,8,15,0
58,3.0,37,1,2.0,1.0,42.0,20.0,73.0,1,2010,2,18,2011,2,17,2010,2,18,1
59,3.0,33,2,16.0,45.0,74.0,96.0,23.0,1,2010,8,21,2011,7,16,2010,8,21,0
60,3.0,23,1,16.0,45.0,74.0,258.0,111.0,1,2010,9,17,2011,9,16,2010,9,17,0
61,3.0,47,1,16.0,45.0,74.0,258.0,111.0,1,2010,7,26,2011,3,1,2010,7,26,0
62,3.0,47,1,16.0,45.0,74.0,258.0,111.0,5,2010,9,20,2011,9,19,2010,9,20,0
63,3.0,45,1,8.0,7.0,67.0,153.0,23.0,1,2010,10,9,2011,4,8,2010,10,9,1
64,3.0,32,1,8.0,45.0,49.0,258.0,111.0,5,2010,4,4,2011,4,2,2010,4,4,0
65,3.0,59,1,16.0,45.0,74.0,258.0,111.0,1,2010,11,26,2011,11,25,2010,11,26,0
66,3.0,30,1,8.0,45.0,52.0,258.0,111.0,5,2010,1,17,2011,1,16,2010,1,17,0
67,1.0,60,1,8.0,45.0,67.0,101.0,23.0,1,2010,5,13,2011,4,10,2010,5,13,1
68,3.0,37,1,13.0,38.0,17.0,179.0,85.0,0,2010,6,19,2011,4,14,2010,6,19,0
69,1.0,37,1,8.0,45.0,67.0,258.0,111.0,5,2010,7,11,2011,7,10,2010,7,11,0
70,3.0,52,3,8.0,7.0,67.0,39.0,73.0,1,2010,11,6,2011,8,6,2010,11,6,0
71,3.0,54,1,2.0,45.0,26.0,100.0,44.0,2,2010,4,28,2011,4,27,2010,4,28,0
72,7.0,120,1,2.0,37.0,42.0,247.0,73.0,6,2010,4,17,2011,4,16,2010,4,17,0
73,1.0,40,1,16.0,45.0,74.0,258.0,111.0,5,2010,10,17,2011,10,16,2010,10,17,0
74,2.0,1,1,16.0,45.0,74.0,258.0,111.0,5,2010,8,8,2011,8,7,2010,8,8,0
75,3.0,44,1,8.0,45.0,29.0,258.0,111.0,5,2010,5,17,2011,5,15,2010,5,17,0
76,1.0,11,3,16.0,45.0,74.0,247.0,73.0,1,2010,9,30,2011,8,13,2010,9,30,0
77,0.0,20,2,16.0,45.0,67.0,247.0,73.0,1,2010,4,10,2011,4,9,2010,4,10,0
78,7.0,120,4,16.0,45.0,74.0,247.0,73.0,8,2010,9,16,2010,12,31,2010,9,16,1
79,3.0,78,2,8.0,45.0,67.0,103.0,46.0,1,2010,10,23,2011,10,22,2010,10,23,0
80,3.0,20,1,8.0,45.0,67.0,258.0,111.0,5,2010,3,25,2011,3,24,2010,3,25,0
81,1.0,28,1,16.0,45.0,74.0,258.0,111.0,1,2010,8,23,2011,8,22,2010,8,23,0
82,1.0,42,1,2.0,23.0,26.0,258.0,111.0,1,2010,5,23,2011,5,22,2010,5,23,0
83,1.0,50,2,8.0,4.0,67.0,115.0,73.0,1,2010,1,7,2011,1,6,2010,1,7,1
84,1.0,37,1,8.0,38.0,67.0,258.0,111.0,1,2010,7,23,2011,7,22,2010,7,23,0
85,1.0,34,1,0.0,7.0,67.0,258.0,111.0,1,2010,7,24,2011,6,13,2010,7,24,0
86,7.0,120,4,16.0,0.0,0.0,247.0,73.0,8,2010,7,5,2010,12,31,2010,7,5,0
87,3.0,44,1,8.0,4.0,49.0,247.0,73.0,1,2010,9,17,2011,9,16,2010,9,17,0
88,0.0,120,2,16.0,45.0,74.0,247.0,73.0,0,2010,7,30,2011,7,29,2010,7,30,0
89,3.0,39,2,8.0,4.0,67.0,187.0,82.0,1,2010,7,24,2011,7,23,2010,7,24,0
90,1.0,29,1,16.0,45.0,74.0,258.0,111.0,1,2010,9,16,2011,9,15,2010,9,16,0
91,1.0,32,1,8.0,42.0,67.0,237.0,73.0,1,2010,2,1,2011,1,31,2010,2,1,0
92,7.0,57,1,8.0,26.0,55.0,99.0,42.0,6,2010,12,12,2011,8,10,2010,12,12,0
93,3.0,38,1,8.0,45.0,67.0,233.0,27.0,1,2010,2,11,2011,2,10,2010,2,11,0
94,1.0,12,3,8.0,45.0,67.0,247.0,73.0,6,2010,1,15,2011,1,14,2010,1,15,0
95,3.0,53,2,8.0,4.0,26.0,16.0,7.0,1,2010,4,4,2011,4,3,2010,4,4,0
96,1.0,65,1,8.0,45.0,49.0,258.0,111.0,5,2010,2,12,2011,2,11,2010,2,12,0
97,1.0,32,1,8.0,45.0,67.0,258.0,111.0,1,2010,1,12,2011,1,11,2010,1,12,0
98,7.0,20,1,5.0,0.0,0.0,160.0,73.0,7,2010,7,19,2011,7,18,2010,7,19,0
99,1.0,30,1,16.0,45.0,74.0,258.0,111.0,5,2010,10,30,2011,10,29,2010,10,30,0
100,3.0,48,1,2.0,45.0,67.0,213.0,93.0,6,2010,3,27,2011,3,26,2010,3,27,0
101,1.0,37,2,8.0,4.0,67.0,144.0,66.0,1,2010,10,23,2011,5,27,2010,10,23,0
102,3.0,37,1,16.0,45.0,74.0,258.0,111.0,1,2010,12,12,2011,12,11,2010,12,12,0
103,1.0,50,1,8.0,45.0,67.0,258.0,111.0,5,2010,2,8,2011,2,7,2010,2,8,0
104,3.0,53,2,16.0,38.0,58.0,118.0,73.0,1,2010,11,13,2011,11,12,2010,11,13,0
105,1.0,44,1,8.0,45.0,67.0,258.0,111.0,5,2010,5,17,2011,5,16,2010,5,17,0
106,3.0,35,2,2.0,0.0,42.0,258.0,111.0,1,2010,7,1,2010,12,31,2010,7,1,0
107,1.0,120,1,8.0,4.0,67.0,247.0,73.0,1,2010,7,31,2011,7,30,2010,7,31,0
108,1.0,73,2,2.0,45.0,67.0,35.0,14.0,6,2010,12,16,2011,12,15,2010,12,16,0
109,3.0,34,1,2.0,45.0,42.0,45.0,15.0,1,2010,12,27,2011,12,26,2010,12,27,0
110,3.0,41,1,16.0,45.0,74.0,258.0,111.0,5,2010,10,11,2011,10,9,2010,10,11,0
111,1.0,56,1,2.0,45.0,29.0,258.0,111.0,5,2010,2,25,2011,2,24,2010,2,25,0
112,7.0,120,2,16.0,45.0,74.0,247.0,73.0,7,2010,11,18,2011,11,17,2010,11,18,0
113,1.0,29,1,16.0,45.0,74.0,258.0,111.0,1,2010,8,2,2011,7,8,2010,8,2,0
114,3.0,36,1,8.0,45.0,26.0,258.0,111.0,5,2010,10,26,2011,10,25,2010,10,26,0
115,1.0,56,1,2.0,4.0,52.0,159.0,73.0,1,2010,3,26,2011,3,25,2010,3,26,0
116,1.0,44,1,8.0,1.0,67.0,87.0,23.0,1,2010,3,2,2011,3,1,2010,3,2,0
117,3.0,34,1,8.0,32.0,67.0,258.0,111.0,1,2010,8,6,2011,8,5,2010,8,6,1
118,3.0,55,3,16.0,45.0,74.0,160.0,73.0,1,2010,8,20,2011,2,17,2010,8,20,0
119,1.0,26,1,2.0,4.0,26.0,226.0,104.0,1,2010,7,2,2011,7,1,2010,7,2,1
120,7.0,38,1,8.0,45.0,69.0,247.0,73.0,5,2010,12,10,2011,12,9,2010,12,10,0
121,3.0,20,1,8.0,45.0,38.0,258.0,111.0,5,2010,1,30,2011,1,29,2010,1,30,0
122,3.0,49,1,16.0,45.0,74.0,258.0,111.0,5,2010,11,12,2011,11,11,2010,11,12,0
123,1.0,38,1,2.0,42.0,67.0,160.0,73.0,1,2010,7,24,2011,1,15,2010,7,24,0
124,3.0,42,1,8.0,4.0,67.0,258.0,111.0,1,2010,5,16,2011,5,14,2010,5,16,0
125,3.0,31,1,8.0,45.0,67.0,258.0,111.0,5,2010,8,7,2011,8,6,2010,8,7,0
126,3.0,43,1,8.0,25.0,26.0,153.0,23.0,1,2010,1,21,2011,1,20,2010,1,21,0
127,3.0,50,2,2.0,4.0,67.0,103.0,46.0,1,2010,9,4,2011,9,3,2010,9,4,0
128,3.0,38,1,16.0,0.0,42.0,237.0,73.0,1,2010,1,11,2011,1,10,2010,1,11,0
129,3.0,30,2,8.0,4.0,26.0,187.0,82.0,1,2010,2,4,2011,2,3,2010,2,4,1
130,1.0,65,1,2.0,4.0,67.0,159.0,73.0,1,2010,3,26,2011,3,24,2010,3,26,0
131,7.0,50,1,16.0,38.0,50.0,247.0,73.0,0,2010,2,15,2011,2,14,2010,2,15,0
132,3.0,20,1,16.0,45.0,67.0,115.0,73.0,1,2010,8,15,2011,8,14,2010,8,15,0
133,3.0,35,2,16.0,37.0,67.0,258.0,111.0,1,2010,8,29,2011,8,28,2010,8,29,1
134,3.0,20,1,16.0,45.0,33.0,11.0,85.0,0,2010,8,21,2011,8,6,2010,8,21,0
135,2.0,35,1,16.0,45.0,74.0,258.0,111.0,5,2010,8,9,2011,8,8,2010,8,9,0
136,3.0,36,2,8.0,1.0,67.0,258.0,111.0,1,2010,3,16,2011,3,15,2010,3,16,0
137,3.0,70,1,16.0,45.0,67.0,166.0,77.0,2,2010,10,21,2011,10,20,2010,10,21,0
138,1.0,60,1,16.0,4.0,42.0,101.0,23.0,1,2010,6,3,2011,6,2,2010,6,3,1
139,3.0,38,1,8.0,26.0,67.0,258.0,111.0,1,2010,5,31,2011,5,30,2010,5,31,1
140,1.0,45,1,16.0,45.0,67.0,235.0,23.0,1,2010,1,16,2011,1,15,2010,1,16,1
141,3.0,37,1,8.0,4.0,26.0,258.0,111.0,1,2010,12,19,2011,11,17,2010,12,19,1
142,3.0,30,1,16.0,0.0,62.0,52.0,31.0,0,2010,5,21,2011,5,3,2010,5,21,0
143,0.0,18,1,8.0,45.0,29.0,247.0,73.0,6,2010,2,4,2011,2,3,2010,2,4,1
144,1.0,35,1,16.0,45.0,74.0,258.0,111.0,5,2010,12,12,2011,12,11,2010,12,12,0
145,1.0,27,1,8.0,45.0,67.0,258.0,111.0,1,2010,6,28,2011,6,26,2010,6,28,0
146,3.0,46,1,2.0,4.0,67.0,237.0,73.0,1,2010,12,9,2011,10,22,2010,12,9,0
147,3.0,30,1,16.0,45.0,74.0,258.0,111.0,5,2010,10,24,2011,10,23,2010,10,24,0
148,1.0,32,1,8.0,45.0,42.0,258.0,111.0,5,2010,7,2,2011,6,30,2010,7,2,0
149,1.0,38,1,8.0,45.0,29.0,258.0,111.0,5,2010,11,14,2011,11,13,2010,11,14,0
150,3.0,47,1,8.0,45.0,67.0,258.0,111.0,1,2010,5,7,2011,5,5,2010,5,7,0
151,1.0,52,1,8.0,45.0,67.0,258.0,111.0,5,2010,12,24,2011,12,23,2010,12,24,0
152,1.0,60,1,8.0,45.0,67.0,158.0,73.0,1,2010,6,14,2011,6,13,2010,6,14,0
153,3.0,45,2,16.0,38.0,7.0,84.0,39.0,6,2010,12,3,2011,12,2,2010,12,3,0
154,1.0,45,1,8.0,45.0,67.0,258.0,111.0,5,2010,1,26,2011,1,25,2010,1,26,0
155,3.0,39,1,16.0,45.0,74.0,258.0,111.0,5,2010,10,2,2011,9,30,2010,10,2,0
156,3.0,40,2,8.0,42.0,55.0,258.0,111.0,1,2010,11,14,2011,4,14,2010,11,14,0
157,3.0,51,1,8.0,32.0,29.0,60.0,23.0,1,2010,1,10,2011,1,9,2010,1,10,0
158,3.0,48,1,16.0,45.0,42.0,213.0,93.0,6,2010,4,19,2011,4,18,2010,4,19,0
159,3.0,58,3,8.0,37.0,67.0,115.0,73.0,1,2010,1,11,2011,1,10,2010,1,11,0
160,3.0,39,2,16.0,45.0,26.0,237.0,73.0,1,2010,10,23,2011,10,22,2010,10,23,0
161,1.0,44,1,16.0,45.0,74.0,258.0,111.0,5,2010,9,13,2011,9,12,2010,9,13,0
162,3.0,43,1,8.0,11.0,67.0,187.0,82.0,1,2010,2,25,2011,2,24,2010,2,25,1
163,1.0,36,1,8.0,45.0,49.0,158.0,73.0,1,2010,6,11,2011,3,9,2010,6,11,0
164,3.0,53,1,8.0,45.0,67.0,258.0,111.0,5,2010,7,4,2011,7,3,2010,7,4,0
165,1.0,14,1,16.0,45.0,74.0,258.0,111.0,5,2010,12,12,2011,12,11,2010,12,12,0
166,3.0,40,1,16.0,45.0,74.0,258.0,111.0,5,2010,8,14,2011,8,13,2010,8,14,0
167,3.0,44,1,16.0,34.0,33.0,247.0,73.0,0,2010,2,11,2011,1,30,2010,2,11,0
168,1.0,34,1,16.0,45.0,74.0,258.0,111.0,5,2010,10,17,2011,10,16,2010,10,17,0
169,3.0,41,1,8.0,45.0,67.0,258.0,111.0,5,2010,1,14,2011,1,13,2010,1,14,0
170,1.0,42,2,16.0,45.0,49.0,247.0,73.0,1,2010,12,7,2011,8,10,2010,12,7,0
171,3.0,40,1,8.0,22.0,67.0,68.0,73.0,1,2010,1,12,2011,1,11,2010,1,12,0
172,3.0,43,2,16.0,7.0,67.0,152.0,73.0,1,2010,7,20,2011,7,19,2010,7,20,1
173,3.0,55,3,2.0,4.0,67.0,247.0,73.0,6,2010,5,21,2011,5,20,2010,5,21,0
174,3.0,47,4,8.0,4.0,52.0,258.0,111.0,1,2010,9,13,2011,9,12,2010,9,13,1
175,3.0,120,1,16.0,45.0,74.0,247.0,73.0,1,2010,12,20,2011,12,19,2010,12,20,0
176,3.0,37,3,8.0,45.0,67.0,258.0,111.0,5,2010,6,7,2011,6,6,2010,6,7,0
177,1.0,37,1,2.0,4.0,67.0,246.0,13.0,1,2010,6,6,2011,6,5,2010,6,6,0
178,7.0,120,4,16.0,45.0,50.0,247.0,73.0,8,2010,7,5,2010,12,31,2010,7,5,0
179,7.0,120,4,16.0,45.0,42.0,247.0,73.0,8,2010,9,16,2010,12,31,2010,9,16,1
180,3.0,31,1,16.0,45.0,74.0,258.0,111.0,5,2010,12,5,2011,12,4,2010,12,5,0
181,3.0,38,1,16.0,45.0,74.0,258.0,111.0,1,2010,12,23,2011,4,21,2010,12,23,0
182,3.0,40,1,16.0,45.0,74.0,258.0,111.0,5,2010,11,22,2011,11,21,2010,11,22,0
183,3.0,62,1,8.0,45.0,67.0,233.0,27.0,5,2010,9,20,2011,9,19,2010,9,20,0
184,3.0,41,1,8.0,7.0,67.0,167.0,73.0,1,2010,3,4,2011,3,3,2010,3,4,0
185,3.0,32,1,8.0,45.0,26.0,258.0,111.0,1,2010,4,4,2011,4,2,2010,4,4,0
186,3.0,49,1,2.0,45.0,67.0,159.0,73.0,1,2010,4,30,2011,4,29,2010,4,30,0
187,1.0,44,1,8.0,45.0,67.0,258.0,111.0,5,2010,6,28,2011,6,27,2010,6,28,0
188,1.0,25,1,16.0,45.0,74.0,258.0,111.0,1,2010,9,12,2011,9,11,2010,9,12,0
189,3.0,31,1,16.0,45.0,74.0,258.0,111.0,1,2010,10,29,2011,10,28,2010,10,29,1
190,3.0,61,1,8.0,45.0,30.0,258.0,111.0,5,2010,3,5,2011,3,4,2010,3,5,0
191,1.0,34,1,8.0,32.0,67.0,34.0,73.0,1,2010,9,9,2011,9,8,2010,9,9,0
192,1.0,40,1,8.0,4.0,67.0,258.0,111.0,1,2010,11,30,2011,11,29,2010,11,30,0
193,3.0,28,1,16.0,45.0,74.0,258.0,111.0,5,2010,9,24,2011,9,23,2010,9,24,0
194,3.0,50,1,8.0,45.0,67.0,258.0,111.0,5,2010,8,1,2011,7,31,2010,8,1,0
195,3.0,62,2,2.0,4.0,26.0,149.0,23.0,1,2010,6,20,2011,6,19,2010,6,20,0
196,1.0,43,1,2.0,37.0,67.0,258.0,111.0,2,2010,3,14,2011,3,13,2010,3,14,0
197,3.0,51,1,8.0,45.0,7.0,52.0,31.0,1,2010,10,7,2011,10,6,2010,10,7,0
198,3.0,53,1,2.0,45.0,21.0,258.0,111.0,5,2010,11,29,2011,11,28,2010,11,29,0
199,3.0,33,1,8.0,22.0,42.0,258.0,111.0,1,2010,12,13,2011,12,12,2010,12,13,0
200,1.0,50,1,8.0,26.0,67.0,258.0,111.0,1,2010,8,9,2011,8,8,2010,8,9,0
201,3.0,37,1,8.0,45.0,42.0,66.0,28.0,1,2010,4,4,2011,4,3,2010,4,4,1
202,1.0,41,1,8.0,32.0,60.0,258.0,111.0,1,2010,9,13,2011,9,12,2010,9,13,0
203,3.0,31,1,16.0,45.0,74.0,258.0,111.0,1,2010,10,25,2011,6,19,2010,10,25,1
204,3.0,37,1,8.0,0.0,29.0,258.0,111.0,1,2010,1,8,2011,1,7,2010,1,8,1
205,3.0,36,1,8.0,38.0,67.0,258.0,111.0,1,2010,8,6,2011,8,5,2010,8,6,0
206,3.0,51,1,2.0,45.0,21.0,84.0,39.0,5,2010,5,23,2011,5,21,2010,5,23,0
207,3.0,40,1,8.0,45.0,26.0,258.0,111.0,5,2010,3,14,2011,3,13,2010,3,14,0
208,3.0,40,1,8.0,45.0,26.0,258.0,111.0,5,2010,4,30,2011,4,29,2010,4,30,0
209,1.0,43,2,16.0,45.0,69.0,258.0,111.0,1,2010,3,4,2011,3,3,2010,3,4,0
210,3.0,72,2,16.0,45.0,67.0,206.0,23.0,1,2010,2,13,2011,1,13,2010,2,13,0
211,3.0,45,1,8.0,4.0,26.0,258.0,111.0,5,2010,4,12,2011,4,11,2010,4,12,0
212,3.0,33,1,8.0,45.0,26.0,258.0,111.0,5,2010,12,13,2011,12,12,2010,12,13,0
213,3.0,32,1,16.0,45.0,74.0,258.0,111.0,5,2010,10,2,2011,10,1,2010,10,2,0
214,1.0,33,1,8.0,25.0,26.0,35.0,14.0,1,2010,4,15,2011,1,3,2010,4,15,0
215,3.0,52,1,16.0,45.0,74.0,96.0,23.0,1,2010,9,24,2011,9,19,2010,9,24,1
216,3.0,42,1,8.0,45.0,67.0,258.0,111.0,5,2010,5,16,2011,5,15,2010,5,16,0
217,3.0,42,1,8.0,45.0,67.0,258.0,111.0,5,2010,2,8,2011,2,7,2010,2,8,0
218,3.0,49,2,8.0,45.0,29.0,258.0,111.0,5,2010,11,7,2011,11,6,2010,11,7,0
219,3.0,30,1,8.0,37.0,67.0,258.0,111.0,1,2010,2,21,2011,2,20,2010,2,21,1
220,1.0,82,1,8.0,45.0,29.0,258.0,111.0,5,2010,1,2,2011,1,1,2010,1,2,0
221,3.0,57,1,2.0,45.0,29.0,258.0,111.0,5,2010,3,28,2011,3,27,2010,3,28,0
222,3.0,39,1,2.0,42.0,67.0,115.0,73.0,1,2010,3,20,2011,3,19,2010,3,20,0
223,7.0,120,2,16.0,45.0,67.0,15.0,6.0,1,2010,4,18,2011,4,17,2010,4,18,0
224,0.0,18,1,16.0,4.0,29.0,247.0,73.0,6,2010,2,4,2011,2,3,2010,2,4,1
225,3.0,69,1,8.0,45.0,67.0,258.0,111.0,5,2010,6,29,2011,6,28,2010,6,29,0
226,3.0,41,1,2.0,26.0,67.0,258.0,111.0,1,2010,12,24,2011,3,25,2010,12,24,0
227,3.0,30,1,16.0,45.0,74.0,258.0,111.0,5,2010,9,23,2011,9,22,2010,9,23,0
228,3.0,120,2,0.0,45.0,67.0,247.0,73.0,0,2010,9,18,2011,3,29,2010,9,18,0
229,1.0,61,1,2.0,4.0,21.0,258.0,111.0,1,2010,1,29,2011,1,28,2010,1,29,1
230,7.0,120,1,8.0,4.0,67.0,247.0,73.0,6,2010,4,17,2011,4,16,2010,4,17,0
231,3.0,41,1,16.0,45.0,74.0,258.0,111.0,5,2010,8,30,2011,8,29,2010,8,30,0
232,3.0,42,1,8.0,4.0,67.0,160.0,73.0,1,2010,6,6,2011,6,5,2010,6,6,0
233,3.0,51,2,16.0,45.0,74.0,258.0,111.0,7,2010,1,2,2012,1,1,2010,1,2,0
234,3.0,63,1,8.0,45.0,67.0,258.0,111.0,5,2010,3,21,2011,3,20,2010,3,21,0
235,7.0,120,4,16.0,45.0,42.0,247.0,73.0,8,2010,7,5,2010,12,31,2010,7,5,1
236,3.0,49,1,8.0,4.0,67.0,100.0,44.0,1,2010,12,13,2011,12,12,2010,12,13,0
237,3.0,52,1,8.0,7.0,67.0,96.0,23.0,1,2010,6,18,2011,6,13,2010,6,18,0
238,3.0,45,2,8.0,25.0,67.0,86.0,23.0,1,2010,2,22,2011,2,21,2010,2,22,0
239,3.0,43,3,16.0,45.0,52.0,158.0,73.0,2,2010,9,30,2011,9,29,2010,9,30,0
240,3.0,44,1,16.0,45.0,21.0,84.0,39.0,6,2010,9,13,2011,8,5,2010,9,13,0
241,3.0,39,1,8.0,45.0,67.0,258.0,111.0,5,2010,11,21,2011,11,20,2010,11,21,0
242,3.0,40,3,16.0,26.0,67.0,159.0,73.0,1,2010,2,5,2011,2,4,2010,2,5,0
243,3.0,47,1,16.0,45.0,74.0,258.0,111.0,5,2010,8,30,2011,8,29,2010,8,30,0
244,1.0,60,1,8.0,0.0,67.0,101.0,23.0,1,2010,5,13,2011,4,10,2010,5,13,0
245,1.0,56,1,16.0,45.0,74.0,258.0,111.0,5,2010,11,28,2011,11,27,2010,11,28,0
246,3.0,34,1,16.0,45.0,74.0,133.0,73.0,1,2010,11,28,2011,3,9,2010,11,28,0
247,3.0,46,1,2.0,45.0,67.0,258.0,111.0,1,2010,11,25,2011,11,24,2010,11,25,0
248,3.0,39,1,8.0,7.0,67.0,258.0,111.0,1,2010,12,12,2011,12,1,2010,12,12,0
